Target,Model,CV Mean R²,CV Std R²,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5
overallScore,Linear Regression,-5.201831010981655,9.871217917982946,-0.8375881556401976,0.12963119096280307,-0.4606976669449716,0.09062733774358878,-24.931127761029497
overallScore,Ridge,-10.82022343669651,22.077570378729366,0.7466465294427682,0.1793440630405857,-0.2712024041693839,0.214745284936816,-54.97065065673333
overallScore,Lasso,-11.768271430393488,24.34303103984403,0.517625289734839,0.3325920341250336,0.4150903823951171,0.347493461927486,-60.45415832014992
overallScore,ElasticNet,-7.630896975171251,15.922870862924423,0.7210685828051451,0.12853004584274785,0.056586664872868675,0.41251309267024416,-39.47318326204726
overallScore,Random Forest,0.2601582371165668,0.45173191744375224,0.4840109634551498,0.5045151854219954,0.33757875611460497,0.6020130411544626,-0.6273267605633788
overallScore,XGBoost,0.1837576985359192,0.7086957998299753,0.45356088876724243,0.4769604206085205,0.5082410573959351,0.7026602029800415,-1.2226340770721436
overallScore,LightGBM,-0.33602094117151726,0.3333914156925892,-0.03570742154251638,-0.13138857770920076,-0.8733965407596023,-0.06058784692233821,-0.5790243189239286
timeToMarket,Linear Regression,-3.628993017908271,3.2451297624809308,-7.789895500429303,-0.12266221857253234,-7.130555197264105,-0.5142948369394549,-2.5875573363359603
timeToMarket,Ridge,-0.4684965760201562,1.1380758531473165,-1.5449115164238303,0.4306428511889314,-2.123052302009744,0.23108029384319229,0.663757793300669
timeToMarket,Lasso,-0.39652457646295414,1.020910673590441,-1.4407609055183812,0.29503729247105936,-1.8113981137824298,0.28897486572513376,0.6855239787898472
timeToMarket,ElasticNet,-0.2455542907728053,1.0753685359357785,-0.922645417700241,0.5075557147359724,-2.0223712630519057,0.32823606577516484,0.8814534463769831
timeToMarket,Random Forest,-0.19140303370544998,1.191663584584403,0.3642745578654767,0.043721949136182325,-2.540373163353926,0.5394862643703331,0.6358752234546841
timeToMarket,XGBoost,-0.2759543964977372,1.4650661004549834,0.5268963082302817,-0.1213976553497309,-3.1417534672639205,0.5560678872770028,0.8004149446176809
timeToMarket,LightGBM,-0.9821757733723564,1.2447040349033613,-0.0017677259969546277,-0.7921866629796692,-3.3832130303511008,-0.7036994819136406,-0.030011965620416303
communityGrowth,Linear Regression,0.43787057686501185,0.35136795498931,0.1531887848385407,0.21624334707947301,0.8457434761341376,0.8845365656717432,0.0896407106011653
communityGrowth,Ridge,0.8340444633488753,0.1377982540212919,0.7477530265802452,0.6022436883236175,0.944194905668871,0.9403576765662457,0.9356730196053972
communityGrowth,Lasso,0.8121256900340335,0.18308142132199465,0.746526477632982,0.4799045858679373,0.9533886728860498,0.9455934020673739,0.9352153117158246
communityGrowth,ElasticNet,0.8644633128923529,0.12686317478792805,0.8117207797927569,0.6381750446374376,0.9493217465473509,0.9468736238993412,0.976225369584878
communityGrowth,Random Forest,0.8109979783024499,0.06806353546865207,0.7941226565587634,0.6890060527994258,0.850577267017053,0.8332480852547612,0.8880358298822465
communityGrowth,XGBoost,0.6269454132026117,0.28904577600101367,0.6860380855427763,0.05665712976593984,0.7900360112638721,0.7707527569286502,0.8312430825118197
communityGrowth,LightGBM,-0.20638316785145666,0.3063378142003211,-0.009216921982724058,-0.7977464653957382,-0.0007672462382928291,-0.010677921131412083,-0.21350728450911616
