name,Cluster,overallScore,avg_dx,avg_tp,avg_bi
microsoft/TypeScript,0,57,1011.8466333080534,492932527.3985417,29.1479862915882
angular/angular,1,78,304.99170535374924,98519587.42351852,20.13263572530864
remix-run/remix,1,68,255.67545139795425,9529611.553390805,9.086314623895536
vitejs/vite,1,68,261.1225318653613,10033288.103172043,23.262491136604577
remix-run/react-router,1,68,123.2585096122419,7351503.782984496,16.692485614330042
storybookjs/storybook,0,66,526.7032043669776,181996545.27666667,27.344658203125004
nestjs/nest,1,84,3.038701831283746,74689491.20637254,15.93114084932848
withastro/astro,1,71,61.9275861925036,34758001.91291667,17.73010902777778
BuilderIO/qwik,1,71,737.3571308716344,10562127.84,7.842064641203703
trpc/trpc,1,68,93.10412512613944,9253641.87357143,15.904316534391535
mui/material-ui,1,71,55.84158633496247,120338431.59833334,30.425146203703708
ant-design/ant-design,1,70,22.474619780369572,40934138.45125,25.111207058884723
chakra-ui/chakra-ui,1,77,242.34371768655905,47986964.09269231,14.760107715201466
mantinedev/mantine,1,73,14.059576704695733,34263461.15607843,18.420416792619825
radix-ui/primitives,0,63,778.6216117960203,3720116.1699738954,11.262155850854398
shadcn-ui/ui,1,71,885.6512823602646,6437753.1874230765,24.00123221153846
tailwindlabs/headlessui,1,77,81.43922796991352,1222256.6124096385,10.7816791868328
react-bootstrap/react-bootstrap,1,62,541.653217601536,5623805.427355072,10.127243776661864
Semantic-Org/Semantic-UI-React,0,65,868.4100267104432,35511787.19317461,14.226338921957677
palantir/blueprint,1,66,40.01996177318079,34268632.35166667,14.172711012906843
reduxjs/redux,1,84,5.02351685638844,5869611.230111112,25.12750263949014
reduxjs/redux-toolkit,0,71,1306.447597171038,7265487.830662101,11.658419665738313
mobxjs/mobx,1,68,314.733829620016,3649098.435722222,19.380911579395487
pmndrs/zustand,1,82,8.222482173464567,1314650.3118571427,19.0313306515016
pmndrs/jotai,1,76,19.11334469634988,2494887.6995,9.94922347972973
pmndrs/valtio,1,85,8.81401832062889,936967.1225,4.813262001424501
TanStack/query,1,80,20.58633257360579,16080660.13,18.813268908655846
apollographql/apollo-client,1,70,2437.1272129930194,16762568.998809524,7.708966688410524
typeorm/typeorm,0,66,7668.357459285922,5441089.888585271,23.15658035352384
evanw/esbuild,1,66,106.601195981345,3501890.1038218387,16.725143458944647
swc-project/swc,1,72,121.31513182230717,72686337.4130303,10.988208149850566
prisma/prisma,1,68,1051.8784117341345,28223671.952702705,12.733742011629689
web-infra-dev/rspack,1,71,21.448628456526613,12322747.415,6.498056052393858
vercel/turbo,0,62,399.4284900317895,133935064.42833334,12.233821895424835
testing-library/react-testing-library,0,72,535.4891460370237,287747.8588896104,10.29000318061568
microsoft/playwright,1,79,5.235919663099161,37465986.98077235,18.122183474132065
vitest-dev/vitest,1,64,968.9402290554464,7882756.735169492,9.908968724856988
nrwl/nx,1,72,331.66868417751823,132970809.67095238,10.15450472268365
colinhacks/zod,1,76,14.779779196845508,3930066.7005512826,16.543896916160868
typescript-eslint/typescript-eslint,1,71,621.2774357077159,13001727.65,10.347679406514947
lerna/lerna,1,62,941.1410234372968,6750436.439779569,14.513383548177492
mswjs/msw,0,72,510.2675853709121,2335097.7818124997,15.191529882154878
react-hook-form/react-hook-form,1,67,70.86221152850575,5184770.972384615,19.477610470085462
TanStack/form,1,62,150.7865328628098,6708719.670404762,8.618206265031265
JedWatson/react-select,0,67,1929.4811388968817,3404328.5308333333,21.186199032738095
pmndrs/react-spring,0,57,486.080907725628,116578622.76032051,19.245347679562155
recharts/recharts,1,79,900.3477798480337,7378564.729166667,7.624808140865585
clauderic/dnd-kit,1,77,14.921224592706087,1588894.3372647057,11.494884402407688
floating-ui/floating-ui,1,71,403.58493436330224,7081220.726388889,10.49971952160494
rjsf-team/react-jsonschema-form,1,71,1010.3673274506752,68522833.529,8.402899819958849
