,PC1,PC2,PC1_abs,PC2_abs
tp_bundleSize,0.41115448195330306,0.2716370012172814,0.41115448195330306,0.2716370012172814
tp_bundleLoadTime,0.4111544819533029,0.2716370012172813,0.4111544819533029,0.2716370012172813
overallScore,-0.34290593439927847,0.13984977787684388,0.34290593439927847,0.13984977787684388
dx_averageCommentsPerPR,0.3383143340551741,-0.06278469144655002,0.3383143340551741,0.06278469144655002
bi_issueResolutionRate,-0.3102778329679971,0.07117104868631198,0.3102778329679971,0.07117104868631198
dx_codeReviewDuration,0.2848753271521818,-0.38399231319147725,0.2848753271521818,0.38399231319147725
bi_timeToMarket,0.2818193095307893,-0.3794814056571185,0.2818193095307893,0.3794814056571185
dx_debuggingTime,0.19713398818011518,-0.2278739780276782,0.19713398818011518,0.2278739780276782
bi_communityGrowth,0.19700166170092753,0.40349781379218647,0.19700166170092753,0.40349781379218647
tp_typeScriptErrorRate,0.14738083485825132,0.0025857401077802227,0.14738083485825132,0.0025857401077802227
dx_prIterationRate,0.14503322110837574,-0.26274179945581166,0.14503322110837574,0.26274179945581166
tp_performanceScore,-0.1382003429118701,-0.2877117941338975,0.1382003429118701,0.2877117941338975
tp_testCoverage,0.11137648266582956,0.3426508064636686,0.11137648266582956,0.3426508064636686
bi_featureSuccessRate,-0.09769873120139441,-0.05937957371585449,0.09769873120139441,0.05937957371585449
tp_buildTime,0.07838515473326156,0.15278743091921884,0.07838515473326156,0.15278743091921884
bi_activeContributors,0.055501654720246894,-0.023988696887367825,0.055501654720246894,0.023988696887367825
dx_linesChangedPerHour,-0.048099199196106265,0.1448973167525189,0.048099199196106265,0.1448973167525189
dx_successfulDeploymentsRatio,2.7755575615628914e-17,1.1102230246251565e-16,2.7755575615628914e-17,1.1102230246251565e-16
dx_timeToFirstCommit,2.7755575615628914e-17,-0.0,2.7755575615628914e-17,0.0
