Метрика,Coefficient,Std Error,t-value,p-value,CI_lower,CI_upper,Аналіз
const,71.64839645059298,2.409556178356945,29.73510105062144,1.1096201879969947e-31,66.79821142382917,76.4985814773568,Overall Score
avg_dx,-0.0015185162116538066,0.0007773576183100324,-1.9534332408744453,0.056866024093722996,-0.00308325594033656,4.622351702894675e-05,Overall Score
avg_tp,-2.9933209690995063e-08,1.2503451856728542e-08,-2.39399567687278,0.020799602458310525,-5.5101352904704904e-08,-4.765066477285223e-09,Overall Score
avg_bi,0.07260682697331453,0.1575241611081726,0.4609250191369378,0.6470243190208368,-0.2444728636448011,0.38968651759143014,Overall Score
dx_codeReviewDuration,0.02744783529248219,0.0027466936459274852,9.993045760010046,6.8259719001627e-13,0.021912237981549218,0.032983432603415165,Business Impact
dx_debuggingTime,7.303157563438818e-05,0.00012945203759638508,0.5641593364647631,0.575510337289246,-0.00018786186338304133,0.0003339250146518177,Business Impact
dx_successfulDeploymentsRatio,0.48339321529945534,0.2773644091438633,1.7428090964934477,0.08835264829322272,-0.07559802119384007,1.0423844517927507,Business Impact
dx_timeToFirstCommit,1.2720874086827942,0.7299063398522843,1.7428090964934413,0.08835264829322384,-0.19894216103642925,2.7431169784020177,Business Impact
dx_linesChangedPerHour,-0.0006403667771164821,0.01774021781508674,-0.03609689485164594,0.9713683689827448,-0.036393426525211894,0.03511269297097892,Business Impact
dx_averageCommentsPerPR,0.3513738444585319,0.3450904243893599,1.0182080394733948,0.3141453364282164,-0.3441102071068213,1.046857896023885,Business Impact
dx_prIterationRate,-3.280273685166651,4.0565414784762615,-0.8086380239353066,0.4230743040930788,-11.455695845273873,4.895148474940569,Business Impact
const,-243.51653980246743,51.42097575552403,-4.735743268666134,2.2958151945480072e-05,-347.1487069864095,-139.8843726185254,Community Growth
tp_buildTime,-0.03179375880742461,0.03951394697746063,-0.804621184149492,0.4253647332711824,-0.11142888628408892,0.047841368669239694,Community Growth
tp_bundleSize,1.3477536743231717e-08,5.488471994409668e-09,2.455608183290246,0.01808486446949097,2.4162482524557806e-09,2.4538825234007654e-08,Community Growth
tp_bundleLoadTime,-2.4572872394502655e-07,5.155121975803959e-08,-4.766690780516484,2.0752206977698544e-05,-3.4962338066840424e-07,-1.4183406722164886e-07,Community Growth
tp_performanceScore,-0.03036271305512056,0.21540817808023538,-0.14095431903152272,0.8885493816986677,-0.46448937042803484,0.4037639443177937,Community Growth
tp_typeScriptErrorRate,71.93502495229265,29.68251767527024,2.423481247085208,0.019553068376697895,12.113841301699125,131.75620860288618,Community Growth
tp_testCoverage,3.307613489223562,0.39323008794821157,8.411394729436815,1.0431188042104293e-10,2.515110320677067,4.100116657770057,Community Growth
